DATAFLOW,LAST UPDATE,freq,unit,tra_cov,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,EE,2019,112,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,EE,2020,8,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,EE,2021,0,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,EE,2022,0,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,EL,2013,5,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,EL,2014,43,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,EL,2015,32,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,EL,2016,21,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,EL,2017,22,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,EL,2018,17,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,EL,2019,8,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,EL,2020,0,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,EL,2021,0,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,EL,2022,0,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,ES,2013,386,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,ES,2014,1019,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,ES,2015,1039,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,ES,2016,1065,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,ES,2017,1070,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,ES,2018,1029,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,ES,2019,1060,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,ES,2020,278,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,ES,2021,389,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,ES,2022,803,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,FI,2013,598,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,FI,2014,518,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,FI,2015,428,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,FI,2016,452,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,FI,2017,548,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,FI,2018,552,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,FI,2019,639,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,FI,2020,118,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,FI,2021,4,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,FI,2022,31,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,FR,2013,42557,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,FR,2014,42994,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,FR,2015,40520,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,FR,2016,38073,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,FR,2017,39123,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,FR,2018,39376,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,FR,2019,39833,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,FR,2020,16478,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,FR,2021,16641,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,FR,2022,29305,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,HR,2013,406,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,HR,2014,361,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,HR,2015,318,
